RunDate, PropmtUsed, Output, Durations,  DesignURL, MediaSelected, MediaIDs
2023-12-01 13:50,Happy 70th birthday video for Grandma," ,HAPPY 70TH BIRTHDAY, GRANDMA! 🎉,I hope you have a wonderful day filled with love and laughter 🎂,I'm making your favorite steak dinner for you tonight 🥩,I love you, Grandma! 👵","2.5s,2.3s,3.2s,3.6s",https://www.canva.com/design/DAF1s1sbQPQ/fJsjftolGmBFLpJ726ubZw/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ; slava+multiaudio@test.canva.com,"44,38,60,4","VAFv16Nvr4M/v/8f191dc4e7.jpg,MAFv1-OhuAU,VAFv180koO0/v/7af8b25ed2.jpg,VAFxq5D00A0/v/ecd6d5b662.jpg"
2023-12-04 11:14,The unique puppies we get at Barktown pet daycare," ,WE GET ALL KINDS OF PUPPIES AT BARKTOWN 🐶,FROM BIG TO SMALL, WE LOVE THEM ALL 🥰,AND THEY ALL HAVE THEIR OWN UNIQUE PERSONALITIES 😍,WE'RE HERE TO MAKE SURE THEY HAVE THE BEST TIME OF THEIR LIVES 🥳,SO IF YOU'RE LOOKING FOR A PLACE TO LEAVE YOUR FURRY FRIEND, COME ON DOWN TO BARKTOWN 🐶,WE'LL TAKE GOOD CARE OF THEM, AND THEY'LL LOVE EVERY MINUTE OF IT 🥰","3.9s,2.4s,4.8s,2.4s,4.9s,2.4s",https://www.canva.com/design/DAF1-dN0gdo/wa-i462FNG9JKw5Ddk0ORg/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ; slava+multiaudio@test.canva.com,"21,47,67,37,6,24","VAFv1zSraOA/v/c96b5d76f6.jpg,VAFv10VDgnE/v/44de4618d2.jpg,MAFv11ta2H0,MAFv1zmZmuk,VAFxq_RqXlA/v/0497c7ee61.jpg,MAFv15CmJ3I"
2023-12-04 11:14,Highlight reel of our Thailand holiday," ,HIGHLIGHT REEL OF OUR THAILAND HOLIDAY 🇹🇭,WE SPENT OUR TIME EXPLORING THE BEAUTIFUL BEACHES 🏖️,AND SAMPLING THE DELICIOUS FOOD 🤤,WE HAD THE BEST TIME 🥰","3.5s,3.1s,3.1s,3.1s",https://www.canva.com/design/DAF1-a3cI1s/a2pXgs1rKyBkN0O4Q4Xm2Q/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ; slava+multiaudio@test.canva.com,"76,27,16,15","MAFv1_KN9RQ,MAFv1zAID84,MAFv1y9Q0Hk,MAFv1_CJB3w"
2023-12-04 11:14,Happy 70th birthday video for Grandma," ,HAPPY 70TH BIRTHDAY, GRANDMA! 🎉,I HOPE YOU HAVE A WONDERFUL DAY FILLED WITH LOVE AND LAUGHTER 🥰,YOU ARE SUCH A SPECIAL PERSON TO ME, AND I AM SO GRATEFUL TO HAVE YOU IN MY LIFE 👵,I KNOW YOU LOVE STEAK, SO I MADE YOU YOUR FAVORITE MEAL 🥩,I HOPE YOU LIKE THIS VIDEO I MADE FOR YOU 🎥,I KNOW YOU'RE ALWAYS UP FOR A CHALLENGE, SO I THOUGHT YOU MIGHT ENJOY THIS VIDEO 🔧,I HOPE YOU ENJOY YOUR TRIP TO THE BEACH 🏖,I HOPE YOU HAVE A VERY HAPPY BIRTHDAY 🥳,LOVE, YOUR GRANDCHILD 😘","2.8s,4.1s,2.0s,4.1s,2.0s,4.1s,2.0s,4.1s,4.1s",https://www.canva.com/design/DAF1-SivR4A/YUsPciReu8U2xvsXOAE_Kw/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ; slava+multiaudio@test.canva.com,"19,34,57,38,49,12,17,21,11","VAFv1-p_DTQ/v/bfdd0af853.jpg,MAFv185NHJI,VAFv126JCSw/p/f9e6551991.jpg,MAFv1-OhuAU,VAFv1wLdPXo/v/880a978893.jpg,MAFv1827GfA,MAFv148GmpM,VAFv1zSraOA/v/c96b5d76f6.jpg,VAFv1wKB7lM/v/e05747adfd.jpg"
2023-12-04 11:14,Highlight reel of our Thailand holiday," ,Our Thailand holiday was amazing 🇹🇭,We saw some amazing sights 😍,And we had some crazy adventures 😱,We also learned a lot about the culture 📚,And we met some amazing people 🥰,We'll never forget our time in Thailand 🇹🇭,We're already planning our next trip ✈️,Can't wait to go back!","4.9s,4.1s,2.0s,4.1s,4.1s,4.0s,4.1s,2.0s",https://www.canva.com/design/DAF1-alJa8Q/zog3aaHp4jB1WS2vLdk4uw/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ; slava+multiaudio@test.canva.com,"11,71,70,32,48,25,61,29","VAFv1wKB7lM/v/e05747adfd.jpg,MAFv1yfmtzY,MAFv18ClVW0,MAFv1wxJvRo,VAFv13WzSAg/v/de47aed2c4.jpg,MAFv194NFCk,VAFv144O3KI/v/7d250ea94b.jpg,MAFv105mfpU"
2023-12-04 11:14,Unboxing video for ActiveLink fitness tracker," ,UNBOXING THE ACTIVELINK FITNESS TRACKER! ⌚️,Let's take a closer look 🔎,Here are all the features 📃,I'm so excited to try it out! 🏃‍♂️,Let's see how it performs 💪,I'm loving it so far! 😍,I'm giving it a 5-star rating! ⭐️,If you're looking for a new fitness tracker, I highly recommend the ActiveLink! 👍,Click the link in the bio to learn more! 🔗,And don't forget to subscribe for more videos! 🔔","5.0s,4.7s,4.7s,2.3s,2.3s,4.7s,4.7s,2.3s,4.7s,4.6s",https://www.canva.com/design/DAF1-e7d4j0/aRGqbUMEm29l1LfR5fYOmg/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ; slava+multiaudio@test.canva.com,"33,10,7,8,73,38,58,47,42,76","MAFv18JLljU,MAFwMeex2sA,VAFxq6ccm4c/v/565487477a.jpg,MAFxkj1ifOw,MAFv178SVBs,MAFv1-OhuAU,VAFv1_Be1hw/v/bc90dd6660.jpg,VAFv10VDgnE/v/44de4618d2.jpg,VAFv1xdoyiM/v/1ee3a3d850.jpg,MAFv1_KN9RQ"
2023-12-04 11:15,Happy 70th birthday video for Grandma," ,Happy 70th birthday, Grandma! 🎂,I made this video for you with all my love 💕,I hope you like it! 😁,I'm so excited to celebrate with you today! 🎉,I love you, Grandma! 👵","4.2s,2.4s,2.4s,3.7s,3.6s",https://www.canva.com/design/DAF1-XyFYv8/SPIWvI_bb_PcWty1yNaIuA/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ; slava+multiaudio@test.canva.com,"9,52,20,77,26","VAFwQnuYl5o/v/eb881f0f7e.jpg,MAFv1xdxN6Q,VAFv14t7UJo/v/bfdd0af853.jpg,MAFv1xQq9GQ,MAFv1-Lge9U"
2023-12-04 11:15,Happy 70th birthday video for Grandma," ,HAPPY 70TH BIRTHDAY, GRANDMA! 🎉,YOU'RE THE BEST GRANDMA ANYONE COULD ASK FOR 👵,I HOPE YOU HAVE A WONDERFUL DAY 🌅,I","4.8s,4.4s,4.4s,4.4s",https://www.canva.com/design/DAF1-YsI35g/Ex0ls2FPVsrwGlJZTQzH7w/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ; slava+multiaudio@test.canva.com,"26,36,33,69","MAFv1-Lge9U,VAFv1zCJdIM/v/1714d03ec8.jpg,MAFv18JLljU,MAFv17Ex0mM"
2023-12-04 11:15,"Get ready with me, corporate lawyer edition"," ,GET READY WITH ME, CORPORATE LAWYER EDITION 💼,I'm a corporate lawyer, so I need to look professional 👔,But I also want to be comfortable 🧥,So I'm going for a classic look with a modern twist 👖,I'm ready to take on the world 🌎,Let's do this!","2.2s,2.0s,4.1s,2.0s,4.1s,4.1s",https://www.canva.com/design/DAF1-c_47-U/GLkr-fWUsc9seHFXz5jLBA/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ; slava+multiaudio@test.canva.com,"52,44,6,72,45,53","MAFv1xdxN6Q,VAFv16Nvr4M/v/8f191dc4e7.jpg,VAFxq_RqXlA/v/0497c7ee61.jpg,MAFv11ZewwA,VAFv19GvDZw/v/af9c9966ab.jpg,MAFv18iZllI"
2023-12-04 11:15,"Get ready with me, corporate lawyer edition"," ,Get ready with me, corporate lawyer edition 💼,I'm a corporate lawyer, so I need to look professional 👔,But I also want to be comfortable 🧥,So I'm going to show you how to get ready for a day in the office 👩‍💼,We'll start with the basics, like choosing the right outfit 👗,Then we'll move on to makeup and hair 💄,And finally, we'll talk about accessories 💍,So you can look your best, even on the most stressful day 💪,Stay tuned for the full video! 👀,And don't forget to subscribe to my channel for more content like this 👍","2.8s,4.1s,2.0s,2.0s,2.0s,2.0s,4.1s,4.1s,4.1s,2.0s",https://www.canva.com/design/DAF1-RKf3mk/AJO5k0jJ4mFXqn0GZ09uMg/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ; slava+multiaudio@test.canva.com,"43,14,55,46,57,4,60,41,7,21","VAFv12UdxhY/v/c7961c7bd3.jpg,MAFv11ARzX4,VAFv12ust_0/p/78e10e5889.jpg,VAFv1_2dlzU/v/d3fc2c9688.jpg,VAFv126JCSw/p/f9e6551991.jpg,VAFxq5D00A0/v/ecd6d5b662.jpg,VAFv180koO0/v/7af8b25ed2.jpg,VAFv18_IVUk/v/328f262a56.jpg,VAFxq6ccm4c/v/565487477a.jpg,VAFv1zSraOA/v/c96b5d76f6.jpg"
2023-12-04 11:15,Happy 70th birthday video for Grandma," ,HAPPY 70TH BIRTHDAY, GRANDMA! 🎂,WE LOVE YOU SO MUCH! 🥰,YOU'RE THE BEST GRANDMA ANYONE COULD ASK FOR! 👵,WE HOPE YOU ENJOY THIS VIDEO WE MADE FOR YOU! 🎥,WE'RE SO LUCKY TO HAVE YOU IN OUR LIVES! 😊,WE LOVE SPENDING TIME WITH YOU! 🤗,WE HOPE YOU HAVE A WONDERFUL DAY! 🎉,HAPPY BIRTHDAY, GRANDMA! 🎂,WE LOVE YOU! 💖","2.7s,3.0s,4.8s,2.4s,4.8s,4.8s,2.4s,4.8s,4.8s",https://www.canva.com/design/DAF1-RcnaaY/Ke2gsVI7C9a-F01aFAm_lA/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ; slava+multiaudio@test.canva.com,"23,72,2,6,77,79,74,20,57","MAFv100M-6Y,MAFv11ZewwA,VAFxq8Dug2Y/v/bfc10d8280.jpg,VAFxq_RqXlA/v/0497c7ee61.jpg,MAFv1xQq9GQ,MAFv15RIQu4,MAFv1x5yB2g,VAFv14t7UJo/v/bfdd0af853.jpg,VAFv126JCSw/p/f9e6551991.jpg"
2023-12-04 11:16,"Get ready with me, corporate lawyer edition"," ,GET READY WITH ME, CORPORATE LAWYER EDITION 💼,I'm starting my day with a healthy breakfast 🍳,And then I'm catching up on some work 💻,Before I head into a long day of meetings 👔","4.3s,4.1s,4.1s,4.1s",https://www.canva.com/design/DAF1-V315qI/9Ak1JsRTPgK4lf2yhs0bcQ/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ; slava+multiaudio@test.canva.com,"14,38,79,62","MAFv11ARzX4,MAFv1-OhuAU,MAFv15RIQu4,VAFv13ScArk/v/7d250ea94b.jpg"
2023-12-04 11:16,Highlight reel of our Thailand holiday," ,THAILAND 🇹🇭,OUR TRIP TO THAILAND WAS AMAZING 😍,WE SPENT A LOT OF TIME ON VIDEO CALLS WITH FAMILY AND FRIENDS 📞,AND WE EVEN MADE A NEW FRIEND 🦎,WE SPENT A LOT OF TIME ON THE BEACH 🏖,WE ALSO EXPLORED THE CITY 🏙,AND WE ATE A LOT OF DELICIOUS FOOD 🤤,WE EVEN GOT TO SEE SOME FARM ANIMALS 🐄,WE HAD SO MUCH FUN ON OUR TRIP 🎉","2.8s,2.6s,3.6s,2.0s,4.1s,2.0s,4.1s,2.0s,2.0s",https://www.canva.com/design/DAF1-QW5vQw/0UPb1n2myvXBJk222TZ3_g/edit?ui=eyJEIjp7IksiOnsiQiI6dHJ1ZX19LCJBIjp7IkIiOnsiQiI6dHJ1ZX19LCJHIjp7IkIiOnRydWV9fQ; slava+multiaudio@test.canva.com,"45,9,1,13,60,42,25,15,44","VAFv19GvDZw/v/af9c9966ab.jpg,VAFwQnuYl5o/v/eb881f0f7e.jpg,VAFxq4GxClI/v/603583ebf4.jpg,VAFv1wr-KL0/v/d68ff6205e.jpg,VAFv180koO0/v/7af8b25ed2.jpg,VAFv1xdoyiM/v/1ee3a3d850.jpg,MAFv194NFCk,MAFv1_CJB3w,VAFv16Nvr4M/v/8f191dc4e7.jpg"
